Date,Adj Close,Close,High,Low,Open,Volume,Company
2024-01-02 00:00:00+00:00,184.7349853515625,185.63999938964844,188.44000244140625,183.88999938964844,187.14999389648438,82488700,Apple
2024-01-03 00:00:00+00:00,183.35174560546875,184.25,185.8800048828125,183.42999267578125,184.22000122070312,58414500,Apple
2024-01-04 00:00:00+00:00,181.02317810058594,181.91000366210938,183.08999633789062,180.8800048828125,182.14999389648438,71983600,Apple
2024-01-05 00:00:00+00:00,180.2967071533203,181.17999267578125,182.75999450683594,180.1699981689453,181.99000549316406,62303300,Apple
2024-01-08 00:00:00+00:00,184.65536499023438,185.55999755859375,185.60000610351562,181.5,182.08999633789062,59144500,Apple
2024-01-09 00:00:00+00:00,184.23741149902344,185.13999938964844,185.14999389648438,182.72999572753906,183.9199981689453,42841800,Apple
2024-01-10 00:00:00+00:00,185.2823028564453,186.19000244140625,186.39999389648438,183.9199981689453,184.35000610351562,46792900,Apple
2024-01-11 00:00:00+00:00,184.68521118164062,185.58999633789062,187.0500030517578,183.6199951171875,186.5399932861328,49128400,Apple
2024-01-12 00:00:00+00:00,185.01361083984375,185.9199981689453,186.74000549316406,185.19000244140625,186.05999755859375,40444700,Apple
2024-01-16 00:00:00+00:00,182.73477172851562,183.6300048828125,184.25999450683594,180.92999267578125,182.16000366210938,65603000,Apple
2024-01-17 00:00:00+00:00,181.78939819335938,182.67999267578125,182.92999267578125,180.3000030517578,181.27000427246094,47317400,Apple
2024-01-18 00:00:00+00:00,187.7104034423828,188.6300048828125,189.13999938964844,185.8300018310547,186.08999633789062,78005800,Apple
2024-01-19 00:00:00+00:00,190.62611389160156,191.55999755859375,191.9499969482422,188.82000732421875,189.3300018310547,68741000,Apple
2024-01-22 00:00:00+00:00,192.9447479248047,193.88999938964844,195.3300018310547,192.25999450683594,192.3000030517578,60133900,Apple
2024-01-23 00:00:00+00:00,194.22845458984375,195.17999267578125,195.75,193.8300018310547,195.02000427246094,42355600,Apple
2024-01-24 00:00:00+00:00,193.55177307128906,194.5,196.3800048828125,194.33999633789062,195.4199981689453,53631300,Apple
2024-01-25 00:00:00+00:00,193.22340393066406,194.1699981689453,196.27000427246094,193.11000061035156,195.22000122070312,54822100,Apple
2024-01-26 00:00:00+00:00,191.48193359375,192.4199981689453,194.75999450683594,191.94000244140625,194.27000427246094,44594000,Apple
2024-01-29 00:00:00+00:00,190.79527282714844,191.72999572753906,192.1999969482422,189.5800018310547,192.00999450683594,47145600,Apple
2024-01-30 00:00:00+00:00,187.12326049804688,188.0399932861328,191.8000030517578,187.47000122070312,190.94000244140625,55859400,Apple
2024-01-31 00:00:00+00:00,183.5010223388672,184.39999389648438,187.10000610351562,184.35000610351562,187.0399932861328,55467800,Apple
2024-02-01 00:00:00+00:00,185.94903564453125,186.86000061035156,186.9499969482422,183.82000732421875,183.99000549316406,64885400,Apple
2024-02-02 00:00:00+00:00,184.9439697265625,185.85000610351562,187.3300018310547,179.25,179.86000061035156,102518000,Apple
2024-02-05 00:00:00+00:00,186.76502990722656,187.67999267578125,189.25,185.83999633789062,188.14999389648438,69668800,Apple
2024-02-06 00:00:00+00:00,188.37713623046875,189.3000030517578,189.30999755859375,186.77000427246094,186.86000061035156,43490800,Apple
2024-02-07 00:00:00+00:00,188.48660278320312,189.41000366210938,191.0500030517578,188.61000061035156,190.63999938964844,53439000,Apple
2024-02-08 00:00:00+00:00,187.40191650390625,188.32000732421875,189.5399932861328,187.35000610351562,189.38999938964844,40962000,Apple
2024-02-09 00:00:00+00:00,188.1691436767578,188.85000610351562,189.99000549316406,188.0,188.64999389648438,45155200,Apple
2024-02-12 00:00:00+00:00,186.4752655029297,187.14999389648438,188.6699981689453,186.7899932861328,188.4199981689453,41781900,Apple
2024-02-13 00:00:00+00:00,184.37286376953125,185.0399932861328,186.2100067138672,183.50999450683594,185.77000427246094,56529500,Apple
2024-02-14 00:00:00+00:00,183.48606872558594,184.14999389648438,185.52999877929688,182.44000244140625,185.32000732421875,54630500,Apple
2024-02-15 00:00:00+00:00,183.19712829589844,183.86000061035156,184.49000549316406,181.35000610351562,183.5500030517578,65434500,Apple
2024-02-16 00:00:00+00:00,181.65269470214844,182.30999755859375,184.85000610351562,181.6699981689453,183.4199981689453,49701400,Apple
2024-02-20 00:00:00+00:00,180.90541076660156,181.55999755859375,182.42999267578125,180.0,181.7899932861328,53665600,Apple
2024-02-21 00:00:00+00:00,181.66268920898438,182.32000732421875,182.88999938964844,180.66000366210938,181.94000244140625,41529700,Apple
2024-02-22 00:00:00+00:00,183.70529174804688,184.3699951171875,184.9600067138672,182.4600067138672,183.47999572753906,52292200,Apple
2024-02-23 00:00:00+00:00,181.86195373535156,182.52000427246094,185.0399932861328,182.22999572753906,185.00999450683594,45119700,Apple
2024-02-26 00:00:00+00:00,180.50686645507812,181.16000366210938,182.75999450683594,180.64999389648438,182.24000549316406,40867400,Apple
2024-02-27 00:00:00+00:00,181.9715576171875,182.6300048828125,183.9199981689453,179.55999755859375,181.10000610351562,54318900,Apple
2024-02-28 00:00:00+00:00,180.7659149169922,181.4199981689453,183.1199951171875,180.1300048828125,182.50999450683594,48953900,Apple
2024-02-29 00:00:00+00:00,180.09832763671875,180.75,182.57000732421875,179.52999877929688,181.27000427246094,136682600,Apple
2024-03-01 00:00:00+00:00,179.0122833251953,179.66000366210938,180.52999877929688,177.3800048828125,179.5500030517578,73488000,Apple
2024-03-04 00:00:00+00:00,174.4687042236328,175.10000610351562,176.89999389648438,173.7899932861328,176.14999389648438,81510100,Apple
2024-03-05 00:00:00+00:00,169.5066680908203,170.1199951171875,172.0399932861328,169.6199951171875,170.75999450683594,95132400,Apple
2024-03-06 00:00:00+00:00,168.51025390625,169.1199951171875,171.24000549316406,168.67999267578125,171.05999755859375,68587700,Apple
2024-03-07 00:00:00+00:00,168.3907012939453,169.0,170.72999572753906,168.49000549316406,169.14999389648438,71765100,Apple
2024-03-08 00:00:00+00:00,170.1144561767578,170.72999572753906,173.6999969482422,168.94000244140625,169.0,76114600,Apple
2024-03-11 00:00:00+00:00,172.12718200683594,172.75,174.3800048828125,172.0500030517578,172.94000244140625,60139500,Apple
2024-03-12 00:00:00+00:00,172.60543823242188,173.22999572753906,174.02999877929688,171.00999450683594,173.14999389648438,59825400,Apple
2024-03-13 00:00:00+00:00,170.5130157470703,171.1300048828125,173.19000244140625,170.75999450683594,172.77000427246094,52488700,Apple
2024-03-14 00:00:00+00:00,172.37628173828125,173.0,174.30999755859375,172.0500030517578,172.91000366210938,72913500,Apple
2024-03-15 00:00:00+00:00,171.99765014648438,172.6199951171875,172.6199951171875,170.2899932861328,171.1699981689453,121664700,Apple
2024-03-18 00:00:00+00:00,173.09368896484375,173.72000122070312,177.7100067138672,173.52000427246094,175.57000732421875,75604200,Apple
2024-03-19 00:00:00+00:00,175.44515991210938,176.0800018310547,176.61000061035156,173.02999877929688,174.33999633789062,55215200,Apple
2024-03-20 00:00:00+00:00,178.0258331298828,178.6699981689453,178.6699981689453,175.08999633789062,175.72000122070312,53423100,Apple
